country,year,iso_code,population,gdp,biofuel_electricity,biofuel_share_elec,coal_electricity,coal_share_elec,gas_electricity,gas_share_elec,hydro_electricity,hydro_share_elec,nuclear_electricity,nuclear_share_elec,oil_electricity,oil_share_elec,solar_electricity,solar_share_elec,wind_electricity,wind_share_elec
Spain,2013,ESP,46603460,1.41E+12,5.8,2.061,39.94,14.19,57.54,20.443,36.87,13.1,56.73,20.156,15.84,5.628,13.1,4.654,55.64,19.768
Spain,2014,ESP,46464548,1.43E+12,5.41,1.971,43.81,15.963,47.27,17.224,39.17,14.273,57.31,20.883,15.79,5.754,13.67,4.981,52.01,18.951
Spain,2015,ESP,46431344,1.49E+12,5.76,2.078,51.37,18.534,52.5,18.941,28.14,10.153,57.2,20.637,19.02,6.862,13.86,5.001,49.32,17.794
Spain,2016,ESP,46473320,1.53E+12,5.69,2.102,36.43,13.458,52.83,19.516,36.4,13.447,58.63,21.659,18.18,6.716,13.64,5.039,48.9,18.064
Spain,2017,ESP,46584168,1.58E+12,6.08,2.232,45.13,16.569,64.04,23.511,18.32,6.726,58.04,21.308,17.24,6.329,14.4,5.287,49.13,18.037
Spain,2018,ESP,46792044,1.62E+12,5.91,2.178,37.34,13.758,58,21.371,34.33,12.649,55.77,20.549,16.42,6.05,12.74,4.694,50.89,18.751
Spain,2019,ESP,47131372,1.65E+12,5.57,2.059,12.86,4.754,83.71,30.944,24.65,9.112,58.35,21.57,14.61,5.401,15.1,5.582,55.65,20.571
Spain,2020,ESP,47363808,1.46E+12,6.14,2.366,5.52,2.127,69.74,26.878,30.51,11.759,58.3,22.469,12.12,4.671,20.67,7.966,56.44,21.752
Spain,2021,ESP,47486932,1.54E+12,6.94,2.563,4.86,1.795,71.5,26.408,29.63,10.944,56.56,20.89,12.08,4.462,27.1,10.009,62.06,22.922
Spain,2022,ESP,47558632,1.63E+12,6.8,2.375,7.86,2.746,86.1,30.077,17.59,6.145,58.59,20.467,11.69,4.084,35.72,12.478,61.9,21.623
United Kingdom,1990,GBR,57210444,1.51E+12,0.6,0.188,206.44,64.563,5,1.564,5.12,1.601,65.75,20.563,36.83,11.518,0,0,0.01,0.003
United Kingdom,1991,GBR,57359452,1.49E+12,0.69,0.214,211.46,65.492,5.82,1.803,4.54,1.406,70.54,21.847,29.82,9.236,0,0,0.01,0.003
United Kingdom,1992,GBR,57509240,1.49E+12,0.93,0.29,193.64,60.316,12.58,3.919,5.35,1.666,76.81,23.925,31.7,9.874,0,0,0.03,0.009
United Kingdom,1993,GBR,57647464,1.53E+12,1.2,0.371,171.25,53.001,34.04,10.535,4.3,1.331,89.35,27.653,22.75,7.041,0,0,0.22,0.068
United Kingdom,1994,GBR,57785900,1.59E+12,1.52,0.465,161.34,49.406,53.26,16.309,5.12,1.568,88.28,27.033,16.7,5.114,0,0,0.34,0.104
United Kingdom,1995,GBR,57930364,1.62E+12,1.64,0.486,155.21,45.999,63.74,18.89,4.65,1.378,88.96,26.365,22.83,6.766,0,0,0.39,0.116
United Kingdom,1996,GBR,58078584,1.66E+12,1.8,0.513,147.27,41.973,84.09,23.966,3.4,0.969,94.67,26.982,19.15,5.458,0,0,0.49,0.14
United Kingdom,1997,GBR,58250192,1.71E+12,2.11,0.602,121.97,34.782,110.96,31.642,4.4,1.255,98.15,27.989,12.41,3.539,0,0,0.67,0.191
United Kingdom,1998,GBR,58438320,1.77E+12,2.65,0.731,122.97,33.903,117.8,32.478,5.12,1.412,99.49,27.43,13.8,3.805,0,0,0.88,0.243
United Kingdom,1999,GBR,58635204,1.82E+12,3.43,0.932,106.18,28.842,142.9,38.816,5.34,1.45,95.13,25.84,14.32,3.89,0,0,0.85,0.231
United Kingdom,2000,GBR,58850044,1.89E+12,3.88,1.029,119.95,31.812,148.08,39.272,5.09,1.35,85.06,22.559,14.06,3.729,0,0,0.94,0.249
United Kingdom,2001,GBR,59092016,1.94E+12,4.53,1.177,131.46,34.166,141.91,36.882,4.05,1.053,90.09,23.414,11.77,3.059,0,0,0.96,0.249
United Kingdom,2002,GBR,59355688,1.98E+12,5.08,1.312,124.28,32.094,152.28,39.324,4.79,1.237,87.85,22.686,11.71,3.024,0,0,1.25,0.323
United Kingdom,2003,GBR,59649800,2.05E+12,6.17,1.549,138.46,34.771,148.88,37.387,3.23,0.811,88.69,22.272,11.49,2.885,0,0,1.29,0.324
United Kingdom,2004,GBR,59995852,2.1E+12,7.36,1.868,131.79,33.456,157.06,39.871,4.84,1.229,80,20.309,10.93,2.775,0,0,1.94,0.492
United Kingdom,2005,GBR,60383740,2.16E+12,9.1,2.284,134.64,33.799,152.64,38.318,4.92,1.235,81.62,20.49,12.52,3.143,0.01,0.003,2.9,0.728
United Kingdom,2006,GBR,60803700,2.21E+12,9.28,2.336,148.85,37.468,140.83,35.449,4.59,1.155,75.45,18.992,14.04,3.534,0.01,0.003,4.22,1.062
United Kingdom,2007,GBR,61260680,2.27E+12,9.32,2.349,135.94,34.258,165.79,41.781,5.08,1.28,63.03,15.884,12.37,3.117,0.01,0.003,5.27,1.328
United Kingdom,2008,GBR,61742152,2.25E+12,9.65,2.481,124.38,31.978,176.22,45.305,5.14,1.321,52.49,13.495,13.93,3.581,0.02,0.005,7.13,1.833
United Kingdom,2009,GBR,62243384,2.15E+12,10.71,2.843,103.04,27.349,166.5,44.193,5.23,1.388,69.1,18.341,12.88,3.419,0.02,0.005,9.28,2.463
United Kingdom,2010,GBR,62760048,2.19E+12,12.26,3.209,107.59,28.16,175.65,45.974,3.59,0.94,62.14,16.264,10.5,2.748,0.04,0.01,10.29,2.693
United Kingdom,2011,GBR,63286360,2.22E+12,13.31,3.617,108.44,29.47,146.5,39.813,5.69,1.546,68.98,18.746,8.85,2.405,0.24,0.065,15.96,4.337
United Kingdom,2012,GBR,63808728,2.26E+12,14.74,4.051,142.79,39.242,100.17,27.529,5.31,1.459,70.41,19.35,9.26,2.545,1.35,0.371,19.84,5.452
United Kingdom,2013,GBR,64302296,2.3E+12,18.1,5.052,130.26,36.357,95.84,26.75,4.7,1.312,70.61,19.708,8.36,2.333,2.01,0.561,28.4,7.927
United Kingdom,2014,GBR,64773504,2.37E+12,22.62,6.691,100.24,29.65,100.89,29.842,5.89,1.742,63.75,18.856,8.69,2.57,4.05,1.198,31.95,9.45
United Kingdom,2015,GBR,65224368,2.43E+12,29.26,8.635,75.88,22.392,99.88,29.474,6.3,1.859,70.34,20.757,9.41,2.777,7.53,2.222,40.27,11.884
United Kingdom,2016,GBR,65655204,2.48E+12,30.07,8.865,30.67,9.042,143.13,42.199,5.37,1.583,71.73,21.148,10.64,3.137,10.41,3.069,37.16,10.956
United Kingdom,2017,GBR,66064808,2.54E+12,31.9,9.432,22.53,6.661,136.75,40.432,5.88,1.739,70.34,20.797,9.71,2.871,11.46,3.388,49.65,14.68
United Kingdom,2018,GBR,66432996,2.58E+12,34.98,10.513,16.83,5.058,131.49,39.519,5.44,1.635,65.06,19.553,9.34,2.807,12.67,3.808,56.91,17.104
United Kingdom,2019,GBR,66778660,2.62E+12,37.4,11.547,6.92,2.137,131.99,40.751,5.93,1.831,56.18,17.345,9.2,2.84,12.42,3.835,63.84,19.71
United Kingdom,2020,GBR,67059472,2.33E+12,39.36,12.615,5.49,1.76,111.42,35.709,6.86,2.199,50.28,16.114,10.33,3.311,12.9,4.134,75.38,24.159
United Kingdom,2021,GBR,67281040,2.51E+12,39.88,12.921,6.51,2.109,123.17,39.906,5.5,1.782,45.9,14.871,10.89,3.528,12.14,3.933,64.66,20.949
United Kingdom,2022,GBR,67508936,2.62E+12,35.45,10.871,5.57,1.708,125.3,38.425,5.32,1.631,47.72,14.634,12.55,3.849,13.92,4.269,80.26,24.613
United States,2000,USA,282398560,1.29E+13,60.73,1.597,1966.27,51.715,614.99,16.175,270.03,7.102,753.89,19.828,116.02,3.051,0.49,0.013,5.59,0.147
United States,2001,USA,285470496,1.31E+13,49.75,1.335,1903.96,51.078,639.13,17.146,208.14,5.584,768.83,20.626,135.59,3.637,0.54,0.014,6.74,0.181
United States,2002,USA,288350240,1.33E+13,53.71,1.397,1933.13,50.287,691.01,17.975,255.59,6.649,780.06,20.292,103.69,2.697,0.55,0.014,10.35,0.269
United States,2003,USA,291109824,1.37E+13,53.34,1.379,1973.74,51.015,649.91,16.798,267.27,6.908,763.73,19.74,132.38,3.422,0.53,0.014,11.19,0.289
United States,2004,USA,293947872,1.42E+13,53.54,1.355,1978.3,50.059,710.1,17.968,259.93,6.577,788.53,19.953,129.88,3.286,0.58,0.015,14.14,0.358
United States,2005,USA,296842656,1.47E+13,54.28,1.345,2012.87,49.885,760.96,18.859,263.76,6.537,781.99,19.38,126.13,3.126,0.55,0.014,17.81,0.441
United States,2006,USA,299753088,1.51E+13,54.86,1.356,1990.51,49.186,816.44,20.174,282.69,6.985,787.22,19.452,71.61,1.769,0.51,0.013,26.59,0.657
United States,2007,USA,302743392,1.53E+13,55.54,1.341,2016.46,48.677,896.59,21.643,240.61,5.808,806.42,19.467,75.19,1.815,0.61,0.015,34.45,0.832
United States,2008,USA,305694912,1.53E+13,55.03,1.34,1985.8,48.345,882.98,21.497,248.54,6.051,806.21,19.628,55.43,1.349,0.86,0.021,55.36,1.348
United States,2009,USA,308512032,1.49E+13,54.49,1.383,1755.9,44.568,920.98,23.376,268.82,6.823,798.85,20.276,48.53,1.232,0.89,0.023,73.89,1.875
United States,2010,USA,311182848,1.52E+13,56.09,1.363,1847.29,44.903,987.7,24.009,254.7,6.191,806.97,19.616,47.5,1.155,1.21,0.029,94.65,2.301
United States,2011,USA,313876608,1.55E+13,56.67,1.386,1733.43,42.394,1013.69,24.791,312.93,7.653,790.2,19.326,41.81,1.023,1.82,0.045,120.18,2.939
United States,2012,USA,316651328,1.58E+13,57.62,1.426,1514.04,37.47,1225.89,30.339,271.29,6.714,769.33,19.04,39.09,0.967,4.33,0.107,140.82,3.485
United States,2013,USA,319375168,1.61E+13,60.86,1.501,1581.11,38.986,1124.84,27.735,263.88,6.507,789.02,19.455,40.26,0.993,9.04,0.223,167.84,4.138
United States,2014,USA,322033952,1.65E+13,63.99,1.562,1581.71,38.616,1126.61,27.505,253.19,6.181,797.17,19.462,43.69,1.067,28.92,0.706,181.65,4.435
United States,2015,USA,324607776,1.69E+13,63.63,1.558,1352.4,33.115,1333.48,32.651,243.99,5.974,797.18,19.52,44.44,1.088,39.03,0.956,190.72,4.67
United States,2016,USA,327210208,1.72E+13,62.76,1.535,1239.15,30.315,1378.31,33.72,261.13,6.388,805.69,19.711,39.5,0.966,54.87,1.342,226.99,5.553
United States,2017,USA,329791232,1.76E+13,62.73,1.548,1205.84,29.757,1296.44,31.993,293.84,7.251,804.95,19.864,37.89,0.935,77.28,1.907,254.3,6.275
United States,2018,USA,332140032,1.81E+13,61.83,1.472,1149.49,27.359,1469.13,34.966,286.62,6.822,807.08,19.209,42.68,1.016,93.36,2.222,272.67,6.49
United States,2019,USA,334319680,1.85E+13,57.51,1.383,964.96,23.205,1585.81,38.135,282.61,6.796,809.41,19.465,37.44,0.9,106.89,2.57,295.88,7.115
United States,2020,USA,335942016,1.8E+13,54.7,1.353,773.39,19.128,1624.17,40.171,279.95,6.924,789.88,19.536,34.34,0.849,130.72,3.233,337.94,8.358
United States,2021,USA,336997632,1.91E+13,54.25,1.306,898,21.62,1579.19,38.02,246.47,5.934,779.65,18.77,35.2,0.847,164.42,3.958,378.2,9.105
United States,2022,USA,338289856,1.95E+13,51.85,1.209,831.51,19.396,1687.07,39.354,248.76,5.803,771.54,17.998,38.64,0.901,205.08,4.784,434.3,10.131
